dataset,classifier,ifc,time1,time2,rmse
diabetes,smoreg,ifc,0.69,0.34,0.4069
diabetes,smoreg,nonifc,0.41,0.02,0.4144
glass,ibk,ifc,0.09,0.09,0.6037
glass,ibk,nonifc,0.02,0.02,0.4686
glass,linreg,ifc,0.16,0.14,0.429
glass,linreg,nonifc,0.06,0.02,0.4751
glass,logreg,ifc,0.09,0.09,0.4368
glass,logreg,nonifc,0.03,0,0.457
glass,m5p,ifc,0.2,0.09,0.4387
glass,m5p,nonifc,0.13,0,0.3973
glass,mlp,ifc,0.39,0.09,0.5339
glass,mlp,nonifc,0.31,0.02,0.5429
glass,smoreg,ifc,0.17,0.14,0.4303
glass,smoreg,nonifc,0.09,0.02,0.586
heart-c,ibk,ifc,0.11,0.23,0.426
heart-c,ibk,nonifc,0.02,0.03,0.4908
heart-c,linreg,ifc,0.14,0.17,0.3533
heart-c,linreg,nonifc,0.06,0.02,0.3596
heart-c,logreg,ifc,0.13,0.17,0.3607
heart-c,logreg,nonifc,0.05,0.02,0.3491
heart-c,m5p,ifc,0.2,0.2,0.3737
heart-c,m5p,nonifc,0.16,0,0.3756
heart-c,mlp,ifc,0.94,0.23,0.4511
heart-c,mlp,nonifc,1.39,0.02,0.5877
heart-c,smoreg,ifc,0.3,0.28,0.4642
heart-c,smoreg,nonifc,0.17,0.02,0.5019
heart-statlog,ibk,ifc,0.11,0.19,0.4513
heart-statlog,ibk,nonifc,0,0.03,0.4981
heart-statlog,linreg,ifc,0.17,0.16,0.3572
heart-statlog,linreg,nonifc,0.06,0.02,0.3615
heart-statlog,logreg,ifc,0.17,0.2,0.3578
heart-statlog,logreg,nonifc,0.03,0.02,0.3543
heart-statlog,m5p,ifc,0.31,0.23,0.3803
heart-statlog,m5p,nonifc,0.16,0,0.3822
heart-statlog,mlp,ifc,0.83,0.2,0.4548
heart-statlog,mlp,nonifc,0.62,0.02,0.5565
heart-statlog,smoreg,ifc,0.22,0.17,0.4218
heart-statlog,smoreg,nonifc,0.11,0,0.4662
hepatitis,ibk,ifc,0.09,0.2,0.4614
hepatitis,ibk,nonifc,0.02,0.03,0.4325
hepatitis,linreg,ifc,0.16,0.33,0.3696
hepatitis,linreg,nonifc,0.05,0.02,0.3681
hepatitis,logreg,ifc,0.11,0.14,0.3916
hepatitis,logreg,nonifc,0.05,0.02,0.349
hepatitis,m5p,ifc,0.23,0.17,0.3986
hepatitis,m5p,nonifc,0.13,0,0.3737
hepatitis,mlp,ifc,0.94,0.2,0.4724
hepatitis,mlp,nonifc,0.72,0.02,0.5337
hepatitis,smoreg,ifc,0.22,0.23,0.3927
hepatitis,smoreg,nonifc,0.16,0.02,0.3927
hypothyroid,ibk,ifc,0.33,3.1,0.2389
hypothyroid,ibk,nonifc,0.02,0.27,0.3106
hypothyroid,linreg,ifc,0.47,2.36,0.2105
hypothyroid,linreg,nonifc,0.31,0.03,0.2318
hypothyroid,logreg,ifc,0.33,2.71,0.196
hypothyroid,logreg,nonifc,0.11,0.03,0.1647
hypothyroid,m5p,ifc,0.52,2.51,0.2003
hypothyroid,m5p,nonifc,0.2,0.02,0.0967
hypothyroid,mlp,ifc,9.86,2,0.1782
hypothyroid,mlp,nonifc,12.36,0.03,0.2892
hypothyroid,smoreg,ifc,11.81,1.76,0.2154
hypothyroid,smoreg,nonifc,33.81,0.02,0.2508
ionosphere,ibk,ifc,0.2,1,0.6537
ionosphere,ibk,nonifc,0.02,0.08,0.3774
ionosphere,linreg,ifc,0.25,1.23,0.3823
ionosphere,linreg,nonifc,0.08,0.02,0.3723
ionosphere,logreg,ifc,0.27,0.92,0.3648
ionosphere,logreg,nonifc,0.08,0.03,0.3207
ionosphere,m5p,ifc,0.52,1.12,0.4051
ionosphere,m5p,nonifc,0.22,0.02,0.2952
ionosphere,mlp,ifc,4.59,0.87,0.576
ionosphere,mlp,nonifc,4.17,0.03,0.4256
ionosphere,smoreg,ifc,0.47,0.84,0.3698
ionosphere,smoreg,nonifc,0.37,0.03,0.3776
iris,ibk,ifc,0.11,0.14,0
iris,ibk,nonifc,0.02,0.02,0
iris,linreg,ifc,0.1,0.05,0.0773
iris,linreg,nonifc,0.06,0.02,0.1535
iris,logreg,ifc,0.08,0.05,0.0037
iris,logreg,nonifc,0.03,0,0.0038
iris,m5p,ifc,0.17,0.05,0.1111
